"","meany12"
"165",0.656348235357848
"166",0.538859180896545
"167",0.519276358214887
"168",0.644613638851831
"169",0.560446366337591
"170",0.51256182747278
"171",0.574442228055689
"172",0.645934037500705
"173",0.550832623386961
"174",0.644629260531413
"175",0.522236724385628
"176",0.695442006194194
"177",0.594805377556409
"178",0.545384684406604
"179",0.628243519709589
"180",0.565289658609059
"181",0.621027334398879
"182",0.619873667782576
"183",0.501401516633469
"184",0.583134802024432
"185",0.627561106992173
"186",0.43444333136436
"187",0.586033443657345
"188",0.484282621855632
"189",0.607656338964501
"190",0.642460882630797
"191",0.553909459245343
"192",0.535745260774017
"193",0.616340266584738
"194",0.583709589690271
"195",0.569961039168447
"196",0.596291457910807
"197",0.51607251970817
"198",0.48233007881926
"199",0.626647495313179
"200",0.445275278938543
"201",0.33909539539411
"202",0.616714508349255
"203",0.568817214116108
"204",0.609747366545486
"205",0.565491244231156
"206",0.411359514708289
"207",0.581886448486528
"208",0.621285916851736
"209",0.596149375579956
"210",0.549944221881015
"211",0.617603129404498
"212",0.528874057752252
"213",0.454677957248352
"214",0.566149109229044
"215",0.567240178995925
"216",0.590439557191984
"217",0.55394533460292
"218",0.569057045801257
"219",0.529189438529887
"220",0.613606223604892
"221",0.569951239462108
"222",0.539248626452794
"223",0.545957897982442
"224",0.622685075181546
"225",0.563658542922475
"226",0.597912809538924
"227",0.643983333595993
"228",0.491032040018871
"229",0.617327184378684
"230",0.656948623676768
"231",0.580647537649744
"232",0.685399607225765
"233",0.629857268927675
"234",0.634667629227553
"235",0.596634150668071
"236",0.555974163095067
"237",0.652884687092965
"238",0.516928360155073
"239",0.653238670421943
"240",0.565680615930537
"241",0.609462402234307
"242",0.602576982914576
"243",0.501307162349853
"244",0.469572763607996
"245",0.595348907551229
"246",0.536513995924881
"247",0.596299062205794
"248",0.618898310207091
"249",0.505554536748347
"250",0.596593602546783
"251",0.608944303306628
"252",0.55834791648386
"253",0.600714626536004
"254",0.486608228204176
"255",0.519842725957835
"256",0.565062486880481
"257",0.611739699578356
"258",0.47945105244144
"259",0.56288469032536
"260",0.564096714838532
"261",0.606707154376707
"262",0.566692535880053
"263",0.61154100923418
"264",0.511243219957191
"265",0.512062646342307
"266",0.411852635121842
"267",0.615505953472241
"268",0.535875421629035
"269",0.515865544510363
"270",0.639926357298977
"271",0.450555173278744
"272",0.591832607584877
"273",0.483522847367175
"274",0.616348609405987
"275",0.527402476288564
"276",0.513839895938979
"277",0.523482628039052
"278",0.563893247715198
"279",0.549766377002684
"280",0.619020197818322
"281",0.492043570599798
"282",0.494540672802511
"283",0.503878343454372
"284",0.548997766871443
"285",0.601900879926808
"286",0.503653071055909
"287",0.518528645360161
"288",0.539397997268505
"289",0.570803845646249
"290",0.481022220580475
"291",0.564075574142618
"292",0.564554356243293
"293",0.582733580028146
"294",0.560550029265972
"295",0.557891614953563
"296",0.51655493686608
"297",0.566936259318999
"298",0.509319497168387
"299",0.716479855556371
"300",0.563314758456521
"301",0.619821687517329
"302",0.595862393680805
"303",0.594529808446144
"304",0.579850083727094
"305",0.544136954064084
"306",0.559829324984643
"307",0.553247408113798
"308",0.591101353149126
"309",0.558293974596696
"310",0.523186868949085
"311",0.619063209043772
"312",0.434594792847261
"313",0.558757135736531
"314",0.58043729987125
"315",0.58039327929027
"316",0.552669813049174
"317",0.561795202595129
"318",0.492136421958245
"319",0.509082968341963
"320",0.582571671278776
"321",0.636416657161936
"322",0.598840620732259
"323",0.632714936865705
"324",0.632944576759679
"325",0.713152641232869
"326",0.552351805013361
"327",0.583868744039454
"328",0.544412812432008
"329",0.488826383455441
"330",0.493658797220627
"331",0.42565623089588
"332",0.636999133256464
"333",0.601918204330691
"334",0.599669257078349
"335",0.592269230409197
"336",0.705328824819741
"337",0.606200983736865
"338",0.527804746266794
"339",0.522077279138608
"340",0.658973144656405
"341",0.550473667183112
"342",0.609570595257741
"343",0.635446095419346
"344",0.528322469642561
"345",0.581202765174162
"346",0.491491606948226
"347",0.442257066589247
"348",0.609942746086885
"349",0.597435602836668
"350",0.524371648787076
"351",0.556082470424635
"352",0.575194013414905
"353",0.512406354788969
"354",0.527816500642994
"355",0.544244705429381
"356",0.469181087495302
"357",0.586722038589092
"358",0.576886854741911
"359",0.506000168900255
"360",0.558395958733379
"361",0.570722529139343
"362",0.50336581468422
"363",0.636144876570955
"364",0.61710358965437
"365",0.527607445190645
"366",0.492897915030378
"367",0.621507473532347
"368",0.639241476441375
"369",0.501337329723209
"370",0.625978154444666
"371",0.550681483999013
"372",0.616686391542758
"373",0.550880307503078
"374",0.58509964422947
"375",0.552823738047388
"376",0.618625973667232
"377",0.614590385387678
"378",0.628165885062116
"379",0.54812769305037
"380",0.512700542443094
"381",0.663121812550657
"382",0.441735532846661
"383",0.591074056318561
"384",0.488632751833142
"385",0.512634944218145
"386",0.522552226023722
"387",0.53422939207709
"388",0.549420039004769
"389",0.468502924220673
"390",0.571663049918306
"391",0.637368996993398
"392",0.47635236375139
"393",0.510982318138284
"394",0.603870129158192
"395",0.49103551991265
"396",0.63199698412499
"397",0.596994814948349
"398",0.527964108990691
"399",0.584536942346573
"400",0.623184752747941
"401",0.674108519739467
"402",0.483427904591426
"403",0.60377579858672
"404",0.490634895772373
"405",0.585414921135427
"406",0.53489618013041
"407",0.55925759183463
"408",0.589984239209465
"409",0.566650092463057
"410",0.613861968741557
"411",0.634687315742779
"412",0.606252300067514
"413",0.633936520792071
"414",0.541531597100469
"415",0.560200211674559
"416",0.565558287236588
"417",0.60031557345162
"418",0.617212645007724
"419",0.561000897248382
"420",0.556045620446129
"421",0.564313863375735
"422",0.566259404616196
"423",0.634146064882791
"424",0.561197862837969
"425",0.382703621190456
"426",0.527338473934683
"427",0.578746003936585
"428",0.616282801156721
"429",0.564405234932645
"430",0.578685838806645
"431",0.598397775590447
"432",0.625302253896592
"433",0.537688633437436
"434",0.413337489406298
"435",0.621106888869688
"436",0.553116481646902
"437",0.595052911601459
"438",0.599069032409249
"439",0.611290390599781
"440",0.513390972632645
"441",0.584171828465897
"442",0.502885657958518
"443",0.659997383457751
"444",0.484473863817326
"445",0.683217345208057
"446",0.591232963041664
"447",0.505121126067502
"448",0.535173111771993
"449",0.545522790417168
"450",0.517387117947594
"451",0.577887884750959
"452",0.556078409172734
"453",0.539934771515364
"454",0.5189554870509
"455",0.667363431427673
"456",0.574728602651928
"457",0.739253684547634
"458",0.567700816774264
"459",0.636740997343158
"460",0.628743365003631
"461",0.51823389052015
"462",0.524601938382167
"463",0.480679830127855
"464",0.583842555768011
"465",0.599416413444747
"466",0.566402215801057
"467",0.468349103344828
"468",0.591330042006054
"469",0.634281924595504
"470",0.472557710111791
"471",0.581908803528759
"472",0.522839885138957
"473",0.510483006016927
"474",0.6232805623058
"475",0.56501396831158
"476",0.614831621918184
"477",0.649292762239752
"478",0.642657444517573
"479",0.519598568748664
"480",0.63683669089756
"481",0.648744117698032
"482",0.647080565022836
"483",0.555561902170421
"484",0.524285593947384
"485",0.583504029209773
"486",0.602946886431551
"487",0.577651914941779
"488",0.528818258896721
"489",0.475110197623408
"490",0.59882870206193
"491",0.510218937750383
"492",0.556027589362696
"493",0.535165512022233
"494",0.452779432280075
"495",0.655760290189837
